location,county,species,weekStart,weekEnd,lat,lng
Convict Lake,Mono,Trout,2024/07/14,2024/07/20,37.589305,-118.858276
Lake Sabrina,Inyo,Trout,2024/07/14,2024/07/20,37.205905,-118.618998
Carrville Pond,Trinity,Trout,2024/07/14,2024/07/20,41.05302,-122.701172
Independence Creek,Inyo,Trout,2024/07/14,2024/07/20,36.8096580505371,-118.19972992
Trumbull Lake,Mono,Trout,2024/07/14,2024/07/20,38.053397,-119.257871
Tuolumne River Middle Fork,Tuolumne,Trout,2024/07/14,2024/07/20,37.8286743164062,-120.00343323
Lyons Canal (Columbia Ditch),Tuolumne,Trout,2024/07/14,2024/07/20,38.0534973144531,-120.24224091
Blue Lake Upper,Alpine,Trout,2024/07/14,2024/07/20,38.631969,-119.949026
Kangaroo Lake,Siskiyou,Trout,2024/07/14,2024/07/20,41.334144,-122.634875
Cold Springs Lake,Modoc,Trout,2024/07/14,2024/07/20,41.201773,-120.148831
Stanislaus River South Fork,Tuolumne,Trout,2024/07/14,2024/07/20,38.1700973510742,-120.06674957
McCloud Reservoir,Shasta,Trout,2024/07/14,2024/07/20,41.1541548029759,-122.07967978
Pinecrest Lake,Tuolumne,Trout,2024/07/14,2024/07/20,38.196056,-119.982335
"Feather River North Fork, Almanor",Plumas,Trout,2024/07/14,2024/07/20,40.3119354248047,-121.2390976
"Clear Creek, above Whiskeytown Lake",Shasta,Trout,2024/07/14,2024/07/20,40.6681175231934,-122.6341095
Susan River Upper,Lassen,Trout,2024/07/14,2024/07/20,40.4127731323242,-120.8620224
Burney Creek Middle,Shasta,Trout,2024/07/14,2024/07/20,40.8777160644531,-121.67034912
Trinity River East Fork,Trinity,Trout,2024/07/14,2024/07/20,41.019962310791,-122.6096344
Coffee Creek,Trinity,Trout,2024/07/14,2024/07/20,41.0841445922852,-122.71015167
Stanislaus River North Fork,"Calaveras, Tuolumne",Trout,2024/07/14,2024/07/20,38.2758712768555,-120.26264954
Freshwater Lagoon,Humboldt,Trout,2024/07/14,2024/07/20,41.267982,-124.092799
"Owens River, Section 3",Mono,Trout,2024/07/14,2024/07/20,37.6800498962402,-118.75685883
North Battle Creek Reservoir,Shasta,Trout,2024/07/14,2024/07/20,40.602841,-121.651406
Big Bear Lake,San Bernardino,Trout,2024/07/14,2024/07/20,34.253115,-116.92764
Virginia Lake Lower,Mono,Trout,2024/07/14,2024/07/20,38.046828,-119.265125
Burney Creek Lower,Shasta,Trout,2024/07/14,2024/07/20,41.0080795288086,-121.64898682
Caples Lake,Alpine,Trout,2024/07/14,2024/07/20,38.698707,-120.045397
Medicine Lake,Siskiyou,Trout,2024/07/14,2024/07/20,41.582274,-121.599526
Bishop Creek Lower,Inyo,Trout,2024/07/14,2024/07/20,37.3688125610352,-118.40048218
Sacramento River,Shasta,Trout,2024/07/14,2024/07/20,41.1420097351074,-122.31331635
Iron Canyon Reservoir,Shasta,Trout,2024/07/14,2024/07/20,41.050043,-121.983054
Snake Lake,Modoc,Trout,2024/07/14,2024/07/20,41.361915,-120.244952
Angels Creek,Calaveras,Trout,2024/07/14,2024/07/20,38.0784759521484,-120.53005981
Montgomery Creek,Shasta,Trout,2024/07/14,2024/07/20,40.8412551879883,-121.92017365
"McCloud River, Fowlers, Lower Falls",Siskiyou,Trout,2024/07/14,2024/07/20,41.243953704834,-122.02196503
Tinnemaha Creek,Inyo,Trout,2024/07/14,2024/07/20,37.0497207641602,-118.27203369
Deer Creek,Tehama,Trout,2024/07/14,2024/07/20,40.234245300293,-121.45935059
Beaver Creek,Tuolumne,Trout,2024/07/14,2024/07/20,38.2536468505859,-120.25720978
Crowley Lake,Mono,Trout,2024/07/14,2024/07/20,37.611116,-118.741281
"Merced River, Section ll",Mariposa,Trout,2024/07/14,2024/07/20,37.6609535217285,-119.85366821
Gull Lake,Mono,Trout,2024/07/14,2024/07/20,37.775614,-119.083277
Hat Creek Upper,Shasta,Trout,2024/07/14,2024/07/20,40.762264251709,-121.4983139
Sacramento River,Siskiyou,Trout,2024/07/14,2024/07/20,41.1879806518555,-122.28471375
Goodrich Creek Lower,Lassen,Trout,2024/07/14,2024/07/20,40.3296165466309,-120.9311676
"Owens River, Section 2",Inyo,Trout,2024/07/14,2024/07/20,37.1855621337891,-118.26623535
"Owens River, below Tinnemaha",Inyo,Trout,2024/07/14,2024/07/20,37.0494766235352,-118.22177887
Battle Creek South Fork,Tehama,Trout,2024/07/14,2024/07/20,40.3511352539062,-121.66055298
Bullseye Lake,Siskiyou,Trout,2024/07/14,2024/07/20,41.555196,-121.575093
Powerhouse Stream,Tuolumne,Trout,2024/07/14,2024/07/20,38.0311470031738,-120.32733154
Green Valley Lake,San Bernardino,Trout,2024/07/14,2024/07/20,34.238207,-117.0808
White Pines Lake,Calaveras,Trout,2024/07/14,2024/07/20,38.268658,-120.341612
Pine Creek Basin Lake #1,Modoc,Trout,2024/07/14,2024/07/20,41.360704,-120.269704
Rock Creek Lake,Inyo,Trout,2024/07/14,2024/07/20,37.452491,-118.737183
Stanislaus River Middle Fork,Tuolumne,Trout,2024/07/14,2024/07/20,38.3434562683105,-119.83426666
Baum Lake,Shasta,Trout,2024/07/14,2024/07/20,40.938845,-121.544996
Hat Creek Middle,Shasta,Trout,2024/07/14,2024/07/20,40.9227409362793,-121.54640198
Tuolumne River South Fork,Tuolumne,Trout,2024/07/14,2024/07/20,37.8115272521973,-119.9440918
Grant Lake,Mono,Trout,2024/07/14,2024/07/20,37.839939,-119.111529
Herring Creek,Tuolumne,Trout,2024/07/14,2024/07/20,38.2234497070312,-119.95430756
"Trinity River, above Clair Engle Lake",Trinity,Trout,2024/07/14,2024/07/20,41.1257400512695,-122.69898987
North Lake,Inyo,Trout,2024/07/14,2024/07/20,37.231483,-118.613827
Silver Lake,Amador,Trout,2024/07/14,2024/07/20,38.658382,-120.118749
Virginia Lake Upper,Mono,Trout,2024/07/14,2024/07/20,38.04705,-119.259049
Lone Pine Creek,Inyo,Trout,2024/07/14,2024/07/20,36.5959739685059,-118.0977478
Susan River Lower,Lassen,Trout,2024/07/14,2024/07/20,40.4125137329102,-120.64638519
Pine Creek Basin Lake #2,Modoc,Trout,2024/07/14,2024/07/20,41.362738,-120.257333
Trinity River Stuart Fork,Trinity,Trout,2024/07/14,2024/07/20,40.8588600158691,-122.89318848
Packer Lake,Sierra,Trout,2024/07/14,2024/07/20,39.622637,-120.655697
Hatchet Creek,Shasta,Trout,2024/07/14,2024/07/20,40.8606224060059,-121.84895325
"Kings River, Below Pine Flat Dam",Fresno,Trout,2024/07/14,2024/07/20,36.7976875305176,-119.39915466
South Lake,Inyo,Trout,2024/07/14,2024/07/20,37.165414,-118.570347
"Twin Lake Lower, Bridgeport",Mono,Trout,2024/07/21,2024/07/27,38.162557,-119.336401
Stanislaus River Middle Fork,Tuolumne,Trout,2024/07/21,2024/07/27,38.3434562683105,-119.83426666
Carson River West Fork,Alpine,Trout,2024/07/21,2024/07/27,38.7691383361816,-119.83604431
"Kings River, Below Pine Flat Dam",Fresno,Trout,2024/07/21,2024/07/27,36.7976875305176,-119.39915466
Iron Canyon Reservoir,Shasta,Trout,2024/07/21,2024/07/27,41.050043,-121.983054
Lake Alpine,Alpine,Trout,2024/07/21,2024/07/27,38.476208,-119.999359
Bishop Creek Lower,Inyo,Trout,2024/07/21,2024/07/27,37.3688125610352,-118.40048218
Santa Ana River South Fork,San Bernardino,Trout,2024/07/21,2024/07/27,34.1685600280762,-116.83167267
South Lake,Inyo,Trout,2024/07/21,2024/07/27,37.165414,-118.570347
"Rock Creek, Section 2",Mono,Trout,2024/07/21,2024/07/27,37.5425987243652,-118.69241333
Tamarack Creek,Fresno,Trout,2024/07/21,2024/07/27,37.194263458252,-119.19861603
Convict Creek,Mono,Trout,2024/07/21,2024/07/27,37.5989952087402,-118.8489151
Hat Creek Middle,Shasta,Trout,2024/07/21,2024/07/27,40.9227409362793,-121.54640198
Little Walker River,Mono,Trout,2024/07/21,2024/07/27,38.3639373779297,-119.4446106
Mono Creek,Fresno,Trout,2024/07/21,2024/07/27,37.3606567382812,-118.99082184
Lyons Canal (Columbia Ditch),Tuolumne,Trout,2024/07/21,2024/07/27,38.0534973144531,-120.24224091
"West Walker River, Section 3",Mono,Trout,2024/07/21,2024/07/27,38.3638801574707,-119.49225616
"West Walker River, Section 2",Mono,Trout,2024/07/21,2024/07/27,38.5385437011719,-119.49241638
Sacramento River,Shasta,Trout,2024/07/21,2024/07/27,41.1420097351074,-122.31331635
Rock Creek Lake,Inyo,Trout,2024/07/21,2024/07/27,37.452491,-118.737183
Portal Forebay,Fresno,Trout,2024/07/21,2024/07/27,37.318818,-119.069351
American River Silver Fork,El Dorado,Trout,2024/07/21,2024/07/27,38.7401657104492,-120.2562561
Courtright Reservoir,Fresno,Trout,2024/07/21,2024/07/27,37.102917,-118.975406
Sacramento River,Siskiyou,Trout,2024/07/21,2024/07/27,41.1879806518555,-122.28471375
Lake Sabrina,Inyo,Trout,2024/07/21,2024/07/27,37.205905,-118.618998
McCloud Reservoir,Shasta,Trout,2024/07/21,2024/07/27,41.1541548029759,-122.07967978
Powerhouse Stream,Tuolumne,Trout,2024/07/21,2024/07/27,38.0311470031738,-120.32733154
"Owens River, Section 3",Mono,Trout,2024/07/21,2024/07/27,37.6800498962402,-118.75685883
Burney Creek Lower,Shasta,Trout,2024/07/21,2024/07/27,41.0080795288086,-121.64898682
Virginia Creek,Mono,Trout,2024/07/21,2024/07/27,38.1186752319336,-119.18434906
Carson River East Fork,Alpine,Trout,2024/07/21,2024/07/27,38.689567565918,-119.76254272
Glass Creek,Mono,Trout,2024/07/21,2024/07/27,37.7518653869629,-118.99880219
Pinecrest Lake,Tuolumne,Trout,2024/07/21,2024/07/27,38.196056,-119.982335
"Bishop Creek, Intake II",Inyo,Trout,2024/07/21,2024/07/27,37.247495,-118.584349
Dinkey Creek,Fresno,Trout,2024/07/21,2024/07/27,37.0633697509766,-119.15642548
June Lake,Mono,Trout,2024/07/21,2024/07/27,37.78864,-119.07362
McGee Creek,Mono,Trout,2024/07/21,2024/07/27,37.574146270752,-118.78263092
Montgomery Creek,Shasta,Trout,2024/07/21,2024/07/27,40.8412551879883,-121.92017365
Plumas-Sierra County Fair Temporary Pond,Plumas,Trout,2024/07/21,2024/07/27,39.9405068191422,-120.9178298
Stanislaus River South Fork,Tuolumne,Trout,2024/07/21,2024/07/27,38.1700973510742,-120.06674957
Robinson Creek,Mono,Trout,2024/07/21,2024/07/27,38.1932716369629,-119.31916046
Rush Creek,Mono,Trout,2024/07/21,2024/07/27,37.7890281677246,-119.12364197
Hat Creek Upper,Shasta,Trout,2024/07/21,2024/07/27,40.762264251709,-121.4983139
Deadman Creek,Mono,Trout,2024/07/21,2024/07/27,37.7228965759277,-119.00999451
Silver Lake,Mono,Trout,2024/07/21,2024/07/27,37.77757,-119.125085
Jenks Lake,San Bernardino,Trout,2024/07/21,2024/07/27,34.164292,-116.881948
Molybdenite Creek,Mono,Trout,2024/07/21,2024/07/27,38.2996101379395,-119.44976807
"Rock Creek, Section 1",Mono,Trout,2024/07/21,2024/07/27,37.5001831054688,-118.59822845
Ward Lake,Fresno,Trout,2024/07/21,2024/07/27,37.300829,-118.987896
Baum Lake,Shasta,Trout,2024/07/21,2024/07/27,40.938845,-121.544996
"Twin Lake Upper, Bridgeport",Mono,Trout,2024/07/21,2024/07/27,38.149096,-119.364455
Medicine Lake,Siskiyou,Trout,2024/07/21,2024/07/27,41.582274,-121.599526
Stanislaus River Clarks Fork,"Alpine, Tuolumne",Trout,2024/07/21,2024/07/27,38.3841552734375,-119.8204422
Lone Pine Creek,Inyo,Trout,2024/07/21,2024/07/27,36.5959739685059,-118.0977478
Wishon Reservoir,Fresno,Trout,2024/07/21,2024/07/27,37.017782,-118.962954
"San Joaquin River, South Fork",Fresno,Trout,2024/07/21,2024/07/27,37.3258628845215,-119.01917267
Burney Creek Middle,Shasta,Trout,2024/07/21,2024/07/27,40.8777160644531,-121.67034912
Hatchet Creek,Shasta,Trout,2024/07/21,2024/07/27,40.8606224060059,-121.84895325
Santa Ana River,San Bernardino,Trout,2024/07/21,2024/07/27,34.1761589050293,-116.94329834
Powerhouse Stream,Tuolumne,Trout,2024/07/28,2024/08/03,38.0311470031738,-120.32733154
White Pines Lake,Calaveras,Trout,2024/07/28,2024/08/03,38.268658,-120.341612
Fuller Lake,Nevada,Trout,2024/07/28,2024/08/03,39.348353,-120.651715
Trumbull Lake,Mono,Trout,2024/07/28,2024/08/03,38.053397,-119.257871
Tuolumne River South Fork,Tuolumne,Trout,2024/07/28,2024/08/03,37.8115272521973,-119.9440918
Iron Canyon Reservoir,Shasta,Trout,2024/07/28,2024/08/03,41.050043,-121.983054
Herring Creek,Tuolumne,Trout,2024/07/28,2024/08/03,38.2234497070312,-119.95430756
Feeley Lake,Nevada,Trout,2024/07/28,2024/08/03,39.400276,-120.633024
"Bishop Creek, Middle Fork",Inyo,Trout,2024/07/28,2024/08/03,37.2449378967285,-118.58989716
Medicine Lake,Siskiyou,Trout,2024/07/28,2024/08/03,41.582274,-121.599526
Rock Creek Lake,Inyo,Trout,2024/07/28,2024/08/03,37.452491,-118.737183
Georges Creek,Inyo,Trout,2024/07/28,2024/08/03,36.7038841247559,-118.12924194
Huntington Lake,Fresno,Trout,2024/07/28,2024/08/03,37.239914,-119.196159
Hatchet Creek,Shasta,Trout,2024/07/28,2024/08/03,40.8606224060059,-121.84895325
Baker Creek,Inyo,Trout,2024/07/28,2024/08/03,37.169620513916,-118.30949402
Sacramento River,Shasta,Trout,2024/07/28,2024/08/03,41.1420097351074,-122.31331635
Lyons Canal (Columbia Ditch),Tuolumne,Trout,2024/07/28,2024/08/03,38.0534973144531,-120.24224091
Lone Pine Creek,Inyo,Trout,2024/07/28,2024/08/03,36.5959739685059,-118.0977478
Virginia Lake Upper,Mono,Trout,2024/07/28,2024/08/03,38.04705,-119.259049
Taboose Creek,Inyo,Trout,2024/07/28,2024/08/03,36.9984283447266,-118.25787354
Angels Creek,Calaveras,Trout,2024/07/28,2024/08/03,38.0784759521484,-120.53005981
Shaver Lake,Fresno,Trout,2024/07/28,2024/08/03,37.125692,-119.290435
Tuolumne River Middle Fork,Tuolumne,Trout,2024/07/28,2024/08/03,37.8286743164062,-120.00343323
Burney Creek Lower,Shasta,Trout,2024/07/28,2024/08/03,41.0080795288086,-121.64898682
Stanislaus River Middle Fork,Tuolumne,Trout,2024/07/28,2024/08/03,38.3434562683105,-119.83426666
Pinecrest Lake,Tuolumne,Trout,2024/07/28,2024/08/03,38.196056,-119.982335
Lindsey Lake Lower,Nevada,Trout,2024/07/28,2024/08/03,39.412822,-120.640682
Lake Davis,Plumas,Trout,2024/07/28,2024/08/03,39.912541,-120.510536
Baum Lake,Shasta,Trout,2024/07/28,2024/08/03,40.938845,-121.544996
Virginia Lake Lower,Mono,Trout,2024/07/28,2024/08/03,38.046828,-119.265125
"Owens River, below Tinnemaha",Inyo,Trout,2024/07/28,2024/08/03,37.0494766235352,-118.22177887
Big Bear Lake,San Bernardino,Trout,2024/07/28,2024/08/03,34.253115,-116.92764
Green Valley Lake,San Bernardino,Trout,2024/07/28,2024/08/03,34.238207,-117.0808
Kangaroo Lake,Siskiyou,Trout,2024/07/28,2024/08/03,41.334144,-122.634875
"McCloud River, Fowlers, Lower Falls",Siskiyou,Trout,2024/07/28,2024/08/03,41.243953704834,-122.02196503
Stanislaus River South Fork,Tuolumne,Trout,2024/07/28,2024/08/03,38.1700973510742,-120.06674957
Hat Creek Upper,Shasta,Trout,2024/07/28,2024/08/03,40.762264251709,-121.4983139
Burney Creek Middle,Shasta,Trout,2024/07/28,2024/08/03,40.8777160644531,-121.67034912
McCloud Reservoir,Shasta,Trout,2024/07/28,2024/08/03,41.1541548029759,-122.07967978
Convict Lake,Mono,Trout,2024/07/28,2024/08/03,37.589305,-118.858276
"Salmon Lake, Upper",Sierra,Trout,2024/07/28,2024/08/03,39.657104,-120.652055
"Bishop Creek, South Fork",Inyo,Trout,2024/07/28,2024/08/03,37.2148704528809,-118.56674957
Gold Lake,Sierra,Trout,2024/07/28,2024/08/03,39.677904,-120.65624
Gull Lake,Mono,Trout,2024/07/28,2024/08/03,37.775614,-119.083277
Tinnemaha Creek,Inyo,Trout,2024/07/28,2024/08/03,37.0497207641602,-118.27203369
Tuttle Creek,Inyo,Trout,2024/07/28,2024/08/03,36.5650291442871,-118.12565613
Goodale Creek,Inyo,Trout,2024/07/28,2024/08/03,36.9775505065918,-118.25619507
Grant Lake,Mono,Trout,2024/07/28,2024/08/03,37.839939,-119.111529
"Kings River, Below Pine Flat Dam",Fresno,Trout,2024/07/28,2024/08/03,36.7976875305176,-119.39915466
Sardine Lake Lower,Sierra,Trout,2024/07/28,2024/08/03,39.614697,-120.626378
Shepherd Creek,Inyo,Trout,2024/07/28,2024/08/03,36.7427253723145,-118.15918732
Cottonwood Creek,Inyo,Trout,2024/07/28,2024/08/03,36.4602928161621,-118.11004639
North Lake,Inyo,Trout,2024/07/28,2024/08/03,37.231483,-118.613827
Sacramento River,Siskiyou,Trout,2024/07/28,2024/08/03,41.1879806518555,-122.28471375
Halsey Forebay,Placer,Trout,2024/07/28,2024/08/03,38.972409,-121.038279
Hat Creek Middle,Shasta,Trout,2024/07/28,2024/08/03,40.9227409362793,-121.54640198
Bishop Creek Lower,Inyo,Trout,2024/07/28,2024/08/03,37.3688125610352,-118.40048218
Montgomery Creek,Shasta,Trout,2024/07/28,2024/08/03,40.8412551879883,-121.92017365
Santa Ana River South Fork,San Bernardino,Trout,2024/08/04,2024/08/10,34.1685600280762,-116.83167267
Edison Lake,Fresno,Trout,2024/08/04,2024/08/10,37.38274,-118.976156
Powerhouse Stream,Tuolumne,Trout,2024/08/04,2024/08/10,38.0311470031738,-120.32733154
"Owens River, Section 2",Inyo,Trout,2024/08/04,2024/08/10,37.1855621337891,-118.26623535
Crystal Lake,Los Angeles,Trout,2024/08/04,2024/08/10,34.318786,-117.847032
Baum Lake,Shasta,Trout,2024/08/04,2024/08/10,40.938845,-121.544996
Medicine Lake,Siskiyou,Trout,2024/08/04,2024/08/10,41.582274,-121.599526
"Kings River, Below Pine Flat Dam",Fresno,Trout,2024/08/04,2024/08/10,36.7976875305176,-119.39915466
Little Walker Lake,Mono,Trout,2024/08/04,2024/08/10,37.874448,-119.164951
Hat Creek Upper,Shasta,Trout,2024/08/04,2024/08/10,40.762264251709,-121.4983139
Lyons Canal (Columbia Ditch),Tuolumne,Trout,2024/08/04,2024/08/10,38.0534973144531,-120.24224091
"Twin Lake Upper, Bridgeport",Mono,Trout,2024/08/04,2024/08/10,38.149096,-119.364455
Bishop Creek Lower,Inyo,Trout,2024/08/04,2024/08/10,37.3688125610352,-118.40048218
Burney Creek Lower,Shasta,Trout,2024/08/04,2024/08/10,41.0080795288086,-121.64898682
Virginia Lake Lower,Mono,Trout,2024/08/04,2024/08/10,38.046828,-119.265125
Stanislaus River Clarks Fork,"Alpine, Tuolumne",Trout,2024/08/04,2024/08/10,38.3841552734375,-119.8204422
"Twin Lake Lower, Bridgeport",Mono,Trout,2024/08/04,2024/08/10,38.162557,-119.336401
Starkweather Lake,Madera,Trout,2024/08/04,2024/08/10,37.662983,-119.073844
"McCloud River, Fowlers, Lower Falls",Siskiyou,Trout,2024/08/04,2024/08/10,41.243953704834,-122.02196503
Pinecrest Lake,Tuolumne,Trout,2024/08/04,2024/08/10,38.196056,-119.982335
Virginia Lake Upper,Mono,Trout,2024/08/04,2024/08/10,38.04705,-119.259049
Hat Creek Middle,Shasta,Trout,2024/08/04,2024/08/10,40.9227409362793,-121.54640198
"San Joaquin River, Middle Fork",Madera,Trout,2024/08/04,2024/08/10,37.6495170593262,-119.07543945
Sacramento River,Siskiyou,Trout,2024/08/04,2024/08/10,41.1879806518555,-122.28471375
Stanislaus River Middle Fork,Tuolumne,Trout,2024/08/04,2024/08/10,38.3434562683105,-119.83426666
Big Pine Creek,Inyo,Trout,2024/08/04,2024/08/10,37.1307411193848,-118.3370285
Santa Ana River,San Bernardino,Trout,2024/08/04,2024/08/10,34.1761589050293,-116.94329834
Stanislaus River South Fork,Tuolumne,Trout,2024/08/04,2024/08/10,38.1700973510742,-120.06674957
Burney Creek Middle,Shasta,Trout,2024/08/04,2024/08/10,40.8777160644531,-121.67034912
Hatchet Creek,Shasta,Trout,2024/08/04,2024/08/10,40.8606224060059,-121.84895325
Robinson Creek,Mono,Trout,2024/08/04,2024/08/10,38.1932716369629,-119.31916046
Stanislaus River North Fork,"Calaveras, Tuolumne",Trout,2024/08/04,2024/08/10,38.2758712768555,-120.26264954
Lone Pine Creek,Inyo,Trout,2024/08/04,2024/08/10,36.5959739685059,-118.0977478
Sacramento River,Shasta,Trout,2024/08/04,2024/08/10,41.1420097351074,-122.31331635
Montgomery Creek,Shasta,Trout,2024/08/04,2024/08/10,40.8412551879883,-121.92017365
Tuolumne River Middle Fork,Tuolumne,Trout,2024/08/11,2024/08/17,37.8286743164062,-120.00343323
Markleeville Creek,Alpine,Trout,2024/08/11,2024/08/17,38.6938972473145,-119.78134918
Trinity River East Fork,Trinity,Trout,2024/08/11,2024/08/17,41.019962310791,-122.6096344
Carson River West Fork,Alpine,Trout,2024/08/11,2024/08/17,38.7691383361816,-119.83604431
"Merced River, Section I",Merced,Trout,2024/08/11,2024/08/17,37.523494720459,-120.32509613
Hat Creek Upper,Shasta,Trout,2024/08/11,2024/08/17,40.762264251709,-121.4983139
Pinecrest Lake,Tuolumne,Trout,2024/08/11,2024/08/17,38.196056,-119.982335
"Bishop Creek, Intake II",Inyo,Trout,2024/08/11,2024/08/17,37.247495,-118.584349
Baum Lake,Shasta,Trout,2024/08/11,2024/08/17,40.938845,-121.544996
"Rock Creek, Section 2",Mono,Trout,2024/08/11,2024/08/17,37.5425987243652,-118.69241333
Courtright Reservoir,Fresno,Trout,2024/08/11,2024/08/17,37.102917,-118.975406
Hat Creek Middle,Shasta,Trout,2024/08/11,2024/08/17,40.9227409362793,-121.54640198
Shaver Lake,Fresno,Trout,2024/08/11,2024/08/17,37.125692,-119.290435
Wishon Reservoir,Fresno,Trout,2024/08/11,2024/08/17,37.017782,-118.962954
Gull Lake,Mono,Trout,2024/08/11,2024/08/17,37.775614,-119.083277
Cherry Valley Reservoir,Tuolumne,Trout,2024/08/11,2024/08/17,38.000736,-119.906933
Powerhouse Stream,Tuolumne,Trout,2024/08/11,2024/08/17,38.0311470031738,-120.32733154
Wrights Lake,El Dorado,Trout,2024/08/11,2024/08/17,38.849101,-120.232819
June Lake,Mono,Trout,2024/08/11,2024/08/17,37.78864,-119.07362
Lyons Canal (Columbia Ditch),Tuolumne,Trout,2024/08/11,2024/08/17,38.0534973144531,-120.24224091
Coffee Creek,Trinity,Trout,2024/08/11,2024/08/17,41.0841445922852,-122.71015167
Mamie Lake,Mono,Trout,2024/08/11,2024/08/17,37.608331,-119.010467
Stanislaus River Middle Fork,Tuolumne,Trout,2024/08/11,2024/08/17,38.3434562683105,-119.83426666
"Twin Lakes, Mammoth",Mono,Trout,2024/08/11,2024/08/17,37.6181197170434,-119.00786488
Huntington Lake,Fresno,Trout,2024/08/11,2024/08/17,37.239914,-119.196159
Trabuco Creek,Orange,Trout,2024/08/11,2024/08/17,33.6741790771484,-117.53850555
Reyes Creek,Ventura,Trout,2024/08/11,2024/08/17,34.6810531616211,-119.30931854
Silver Lake,Mono,Trout,2024/08/11,2024/08/17,37.77757,-119.125085
Carrville Pond,Trinity,Trout,2024/08/11,2024/08/17,41.05302,-122.701172
"Trinity River, above Clair Engle Lake",Trinity,Trout,2024/08/11,2024/08/17,41.1257400512695,-122.69898987
Lake Sabrina,Inyo,Trout,2024/08/11,2024/08/17,37.205905,-118.618998
Burney Creek Middle,Shasta,Trout,2024/08/11,2024/08/17,40.8777160644531,-121.67034912
"Bishop Creek, Middle Fork",Inyo,Trout,2024/08/11,2024/08/17,37.2449378967285,-118.58989716
Hatchet Creek,Shasta,Trout,2024/08/11,2024/08/17,40.8606224060059,-121.84895325
Convict Creek,Mono,Trout,2024/08/11,2024/08/17,37.5989952087402,-118.8489151
Stanislaus River South Fork,Tuolumne,Trout,2024/08/11,2024/08/17,38.1700973510742,-120.06674957
"Rock Creek, Section 1",Mono,Trout,2024/08/11,2024/08/17,37.5001831054688,-118.59822845
McGee Creek,Mono,Trout,2024/08/11,2024/08/17,37.574146270752,-118.78263092
Carson River East Fork,Alpine,Trout,2024/08/11,2024/08/17,38.689567565918,-119.76254272
Lower Bucks Lake,Plumas,Trout,2024/08/11,2024/08/17,39.9001498359168,-121.21846482
Lone Pine Creek,Inyo,Trout,2024/08/11,2024/08/17,36.5959739685059,-118.0977478
North Lake,Inyo,Trout,2024/08/11,2024/08/17,37.231483,-118.613827
Montgomery Creek,Shasta,Trout,2024/08/11,2024/08/17,40.8412551879883,-121.92017365
Plaskett Meadows Pond,Glenn,Trout,2024/08/11,2024/08/17,39.726584,-122.844021
Burney Creek Lower,Shasta,Trout,2024/08/11,2024/08/17,41.0080795288086,-121.64898682
Lewiston Lake,Trinity,Trout,2024/08/11,2024/08/17,40.747267,-122.785913
"Bishop Creek, South Fork",Inyo,Trout,2024/08/11,2024/08/17,37.2148704528809,-118.56674957
Tuolumne River South Fork,Tuolumne,Trout,2024/08/11,2024/08/17,37.8115272521973,-119.9440918
Trinity River Stuart Fork,Trinity,Trout,2024/08/11,2024/08/17,40.8588600158691,-122.89318848
Mary Lake,Mono,Trout,2024/08/11,2024/08/17,37.602899,-119.002813
McSwain Reservoir,Mariposa,Trout,2024/08/11,2024/08/17,37.518519,-120.29729
Bishop Creek Lower,Inyo,Trout,2024/08/11,2024/08/17,37.3688125610352,-118.40048218
Dark Lake,El Dorado,Trout,2024/08/11,2024/08/17,38.850843,-120.242071
South Lake,Inyo,Trout,2024/08/11,2024/08/17,37.165414,-118.570347
"Owens River, below Tinnemaha",Inyo,Trout,2024/08/11,2024/08/17,37.0494766235352,-118.22177887
Lone Pine Creek,Inyo,Trout,2024/08/18,2024/08/24,36.5959739685059,-118.0977478
"Trinity River, above Clair Engle Lake",Trinity,Trout,2024/08/18,2024/08/24,41.1257400512695,-122.69898987
Angels Creek,Calaveras,Trout,2024/08/18,2024/08/24,38.0784759521484,-120.53005981
Frenchman Reservoir,Plumas,Trout,2024/08/18,2024/08/24,39.90121,-120.196492
Medicine Lake,Siskiyou,Trout,2024/08/18,2024/08/24,41.582274,-121.599526
Bishop Creek Lower,Inyo,Trout,2024/08/18,2024/08/24,37.3688125610352,-118.40048218
Deadman Creek,Mono,Trout,2024/08/18,2024/08/24,37.7228965759277,-119.00999451
McSwain Reservoir,Mariposa,Trout,2024/08/18,2024/08/24,37.518519,-120.29729
North Lake,Inyo,Trout,2024/08/18,2024/08/24,37.231483,-118.613827
Baum Lake,Shasta,Trout,2024/08/18,2024/08/24,40.938845,-121.544996
Santa Ana River South Fork,San Bernardino,Trout,2024/08/18,2024/08/24,34.1685600280762,-116.83167267
Yuba River North Fork,Sierra,Trout,2024/08/18,2024/08/24,39.5329856872559,-120.92366028
"Kings River, Below Pine Flat Dam",Fresno,Trout,2024/08/18,2024/08/24,36.7976875305176,-119.39915466
Coffee Creek,Trinity,Trout,2024/08/18,2024/08/24,41.0841445922852,-122.71015167
Hat Creek Upper,Shasta,Trout,2024/08/18,2024/08/24,40.762264251709,-121.4983139
Caples Lake,Alpine,Trout,2024/08/18,2024/08/24,38.698707,-120.045397
Burney Creek Middle,Shasta,Trout,2024/08/18,2024/08/24,40.8777160644531,-121.67034912
Trinity River East Fork,Trinity,Trout,2024/08/18,2024/08/24,41.019962310791,-122.6096344
Lake Almanor,Plumas,Trout,2024/08/18,2024/08/24,40.228988,-121.154457
